db_col,acs_col_id,name
poverty_male_35to44E,B17001_012E,Males 35 to 44 Years with Income in the Past 12 Months Below Poverty Level
poverty_male_35to44M,B17001_012M,Males 35 to 44 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_male_45to54E,B17001_013E,Males 45 to 54 Years with Income in the Past 12 Months Below Poverty Level
poverty_male_45to54M,B17001_013M,Males 45 to 54 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_male_55to64E,B17001_014E,Males 55 to 64 Years with Income in the Past 12 Months Below Poverty Level
poverty_male_55to64M,B17001_014M,Males 55 to 64 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_male_65to74E,B17001_015E,Males 65 to 74 Years with Income in the Past 12 Months Below Poverty Level
poverty_male_65to74M,B17001_015M,Males 65 to 74 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_male_75olderE,B17001_016E,Males 75 Years and Older with Income in the Past 12 Months Below Poverty Level
poverty_male_75olderM,B17001_016M,Males 75 Years and Older with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_E,B17001_017E,Females with Income in the Past 12 Months Below Poverty Level
poverty_female_M,B17001_017M,Females with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_under5E,B17001_018E,Females Under 5 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_under5M,B17001_018M,Females Under 5 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_5E,B17001_019E,Females 5 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_5M,B17001_019M,Females 5 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_6to11E,B17001_020E,Females 6 to 11 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_6to11M,B17001_020M,Females 6 to 11 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_12to14E,B17001_021E,Females 12 to 14 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_12to14M,B17001_021M,Females 12 to 14 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_15E,B17001_022E,Females 15 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_15M,B17001_022M,Females 15 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_16to17E,B17001_023E,Females 16 and 17 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_16to17M,B17001_023M,Females 16 and 17 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_18to24E,B17001_024E,Females 18 to 24 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_18to24M,B17001_024M,Females 18 to 24 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_25to34E,B17001_025E,Females 25 to 34 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_25to34M,B17001_025M,Females 25 to 34 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_35to44E,B17001_026E,Females 35 to 44 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_35to44M,B17001_026M,Females 35 to 44 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_45to54E,B17001_027E,Females 45 to 54 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_45to54M,B17001_027M,Females 45 to 54 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_55to64E,B17001_028E,Females 55 to 64 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_55to64M,B17001_028M,Females 55 to 64 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_65to74E,B17001_029E,Females 65 to 74 Years with Income in the Past 12 Months Below Poverty Level
poverty_female_65to74M,B17001_029M,Females 65 to 74 Years with Income in the Past 12 Months Below Poverty Level Margin of Error
poverty_female_75olderE,B17001_030E,Females 75 Years and Older with Income in the Past 12 Months Below Poverty Level
poverty_female_75olderM,B17001_030M,Females 75 Years and Older with Income in the Past 12 Months Below Poverty Level Margin of Error
property_tax_800to1500E,B25102_003E,Real Estate Taxes Paid Less than $800
property_tax_800to1500M,B25102_003M,Real Estate Taxes Paid Less than $800 Margin of Error
property_tax_1500to2000E,B25102_004E,Real Estate Taxes Paid $800 to $1,499
property_tax_1500to2000M,B25102_004M,Real Estate Taxes Paid $800 to $1,499 Margin of Error
property_tax_2000to3000E,B25102_005E,Real Estate Taxes Paid $1,500 to $1,999
property_tax_2000to3000M,B25102_005M,Real Estate Taxes Paid $1,500 to $1,999 Margin of Error
property_tax_3000moreE,B25102_006E,Real Estate Taxes Paid $3,000 or More
property_tax_3000moreM,B25102_006M,Real Estate Taxes Paid $3,000 or More Margin of Error
property_tax_noneE,B25102_007E,No Real Estate Taxes Paid
property_tax_noneM,B25102_007M,No Real Estate Taxes Paid Margin of Error

